MonthAbrev,Month,Year,Confirmed,Estimated
Jan.,January,2015,355,0
Feb.,February,2015,486,0
Mar.,March,2015,505,0
Apr.,April,2015,587,0
May,May,2015,494,0
June,June,2015,554,0
July,July,2015,635,0
Aug.,August,2015,617,0
Sept.,September,2015,587,0
Oct.,October,2015,610,0
Nov.,November,2015,532,0
Dec.,December,2015,613,0
Jan.,January,2016,355,0
Feb.,February,2016,486,0
Mar.,March,2016,505,0
Apr.,April,2016,174,13
May,May,2016,147,11
June,June,2016,137,18
July,July,2016,83,91
Aug.,August,2016,16,135
Sept.,September,2016,4,172
